"tk","territory","lat","lon"
"15123","ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ","38.0314264","23.785385199999997"
"15124","ΜΑΡΟΥΣΙ","38.0512581","23.8021097"
"15125","ΜΑΡΟΥΣΙ ΠΑΡΑΔΕΙΣΟΣ","38.0453","23.8203025"
"15126","ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ","38.0563575","23.8259775"
"15127","ΜΕΛΙΣΣΙΑ","38.0572295","23.8336016"
"15231","ΧΑΛΑΝΔΡΙ ΑΓΙΑ ΒΑΡΒΑΡΑ","38.0137595","23.7854066"
"15232","ΧΑΛΑΝΔΡΙ","38.020741","23.7959223"
"15233","ΧΑΛΑΝΔΡΙ","38.024942","23.79748"
"15234","ΧΑΛΑΝΔΡΙ","38.02657070000001","23.8198045"
"15235","ΒΡΙΛΗΣΣΙΑ","38.0329785","23.831904"
"15236","ΠΕΝΤΕΛΗ ΝΕΑ ΠΕΝΤΕΛΗΟΡ","38.0606091","23.8590907"
"15237","ΦΙΛΟΘΕΗ","38.02509879999999","23.7791452"
"15238","ΧΑΛΑΝΔΡΙ","38.03272466973694","23.8486730360786"
"15341","ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ","38.00904439999999","23.8200341"
"15342","ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΑΓΙΑΝΝΗ","38.0077479","23.825202899999997"
"15343","ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΠΕΥΚΑΚΙ","38.0210263","23.8430443"
"15344","ΑΝΘΟΥΣΑ","38.0230869","23.8724272"
"15349","ΑΝΘΟΥΣΑ","38.0230869","23.8724272"
"15351","ΠΑΛΛΗΝΗ","38.00351029999999","23.883515799999998"
"15354","ΓΛΥΚΑ ΝΕΡΑ","37.993481","23.848306"
"15451","ΝΕΑ ΨΥΧΙΚΟ","38.0049076","23.7785742"
"15452","ΨΥΧΙΚΟ ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ","38.0114368","23.777097899999998"
"15561","ΧΟΛΑΡΓΟΣ ΝΑΟΣ ΦΑΝΕΡΩ","38.0026476","23.7986048"
"15562","ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ","38.0026476","23.7986048"
"15669","ΠΑΠΑΓΟΥ","37.9885749","23.7965135"
"15771","ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ","37.9743287","23.7736717"
"15772","ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ","37.9743287","23.7736717"
"15773","ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ","37.9807643","23.7708378"
"15780","ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ","37.9782117149277","23.780088355072618"
"16121","ΚΑΙΣΑΡΙΑΝΗ ΓΗΠΕΔΑ ΝΗΑΡ ΗΣΤ","37.966955","23.7594267"
"16122","ΚΑΙΣΑΡΙΑΝΗ ΑΝΩ ΚΑΙΣΑΡΙΑΝΗ","37.9656684","23.7617788"
"16231","ΒΥΡΩΝ ΝΕΑ ΕΛΒΕΤΙΑ","37.9573636","23.758256399999997"
"16232","ΒΥΡΩΝΑΣ","37.9617869","23.7513958"
"16233","ΒΥΡΩΝ ΖΩΟΔΟΧΟΣ ΠΗΓΗ","37.9543661","23.760511800000003"
"16341","ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ","37.9336901","23.738021300000003"
"16342","ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ","37.9239945","23.7629925"
"16343","ΗΛΙΟΥΠΟΛΗ ΑΝΩ ΝΕΑ ΗΛΙΟΥΠΟΥΛΗ","37.9461185","23.7445474"
"16344","ΗΛΙΟΥΠΟΛΗ ΑΝΩ ΗΛΙΟΥΠΟΛΗ","37.94610249999999","23.7533236"
"16345","ΗΛΙΟΥΠΟΛΗ ΑΝΩ ΗΛΙΟΥΠΟΛΗ","37.9766976","23.783828399999997"
"16346","ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ","37.9336901","23.738021300000003"
"16451","ΑΡΓΥΡΟΥΠΟΛΗ","37.9059632","23.753752"
"16452","ΑΡΓΥΡΟΥΠΟΛΗ","37.9093343","23.7408677"
"16561","ΓΛΥΦΑΔΑ Α.ΓΛΥΦΑΔΑ","37.8650426","23.7550447"
